"rf_error_dev","glmboost_error_dev","lm_error_dev","svm_error_dev","transvalue_log"
21972.7924113966,30392.4682210996,30264.5927073559,35811.613492082,5.31175386105575
-31301.5998245645,-32471.0536559914,-32212.3164894802,-23438.7879570523,5.41830129131975
881.441288304719,14124.0094998764,15319.4527169385,21730.0887647976,5.36163341391006
-8238.81685350311,5094.95094042824,2224.47311827331,12083.0600930552,5.43933269383026
-59290.6597168468,-51369.0060685177,-52476.769453894,-53356.3389346112,5.58994960132571
109934.199711326,17547.2290144172,19908.0275379575,21370.383235467,5.38916608436453
9973.98726389097,40920.1110028277,43001.187198888,35500.0679329654,5.56466606425209
10288.4758274559,20664.4807094101,20303.2628515484,20003.22919669,5.47275644931721
-1194.57834314619,7426.8102991643,7165.90338577746,11824.6312855691,5.36361197989214
-6771.29072048084,-377.745799869444,665.898953034892,8587.69632698593,5.38201704257487
-10601.099307325,-25459.619377396,-27148.114774276,-20751.0949759028,5.43128333180726
35655.0838940639,53760.4401083653,48524.9333924551,59806.4420766737,5.36172783601759
87181.7070643618,94178.5756786927,89363.8903875761,96349.1946323621,5.33845649360461
-121307.415780069,-119265.021668702,-126324.926622574,-109385.800165211,5.60205999132796
40413.8094097975,17380.696881106,16576.8746836922,13004.4228671024,5.45178643552429
-5482.9978468187,23362.9347151698,22636.4787064049,28649.2792383363,5.42193281327851
13848.4671066746,46713.7277548719,46860.1408543962,51833.1406650562,5.3747483460101
37301.8451760291,68431.6891154575,70898.4372343078,70196.7634000412,5.55022835305509
17393.597506745,21232.2930161796,19715.9769032335,25608.4331435444,5.42894429003557
62117.5948039459,89546.7579966818,85857.5642315672,111387.56051824,5.69983772586725
7075.73962299281,161944.885061651,159186.000363519,179398.924775196,5.77085201164214
77489.6379511706,383710.858084182,345967.755368671,367246.629814945,6.03542973818455
161827.726379351,268736.194462888,263881.147191987,320425.687490451,6.09254520760561
-507189.066519774,-145214.651717872,-150440.610832301,-156063.68327385,6.18041263283832
74296.8328472106,140425.401420838,136546.37899996,163793.142295155,5.69019608002851
64961.1131449614,459732.507549853,468744.661891978,464221.168150226,5.47712125471966
-50116.188736942,-33558.0354784892,16578.4896146043,4933.92474284401,5.70329137811866
18463.7813109637,141177.97477736,207689.452375029,193499.492291895,5.76566855475901
24598.1672520369,716.301142565673,34204.8862822149,33863.3885307729,5.55630250076729
-178363.502025546,-124495.620353657,-70866.8432816454,-71045.0312138832,5.75511226639507
11628.6794067355,810.295166117081,44561.4456217271,31739.952660545,5.58092497567562
-31019.8359167635,-74554.0621555061,-38755.4688140247,-39149.6236583196,5.65316425615188
44366.0646085727,14953.2403834275,56895.1567402331,46602.9668136088,5.54654266347813
-33715.8459899998,-12968.1184370765,41596.520393957,37133.9280478192,5.66275783168157
-40243.1595131279,44948.3604206516,100099.444566105,95942.447394434,5.70113606609253
45864.6835137922,15049.4454387726,56895.1567402331,44513.6297543885,5.54654266347813
-74959.3160819848,-77223.9685021211,-23491.1205099185,-43119.6683264215,5.77815125038364
-18837.041899631,-41407.8369563149,9131.76797928271,-5342.22520502389,5.68529378138678
127711.458531608,58388.9985079585,130916.259399626,167436.048397534,5.60205999132796
-419674.169554553,-441493.371433748,-439252.989174244,-429136.978373203,6.02530586526477
-151516.339993544,-274643.061507767,-270338.391935189,-265021.393669052,5.91698004732038
-153381.704168792,-218841.197376494,-214178.000968887,-202266.481574895,5.81954393554187
-190440.870713932,170439.57879469,174298.308870807,200418.306231657,6.15806079393661
