"zip","name","empflag","emp","qp1","ap","est"
"01452","HUBBARDSTON, MA",,408,2439,10529,71
"01453","LEOMINSTER, MA",,18260,130511,560746,1159
"01460","LITTLETON, MA",,6504,87720,419211,346
"01462","LUNENBURG, MA",,1853,15588,73526,218
"01463","PEPPERELL, MA",,1154,8659,41677,209
"01464","SHIRLEY, MA",,827,6887,30026,97
"01467","STILL RIVER, MA",,19,144,660,8
"01468","TEMPLETON, MA",,287,2029,8748,47
"01469","TOWNSEND, MA",,1375,11487,49011,137
"01471","GROTON, MA","G",0,0,0,2
"01472","WEST GROTON, MA",,368,3314,13723,15
"01473","WESTMINSTER, MA",,1481,14629,59494,170
"01474","WEST TOWNSEND, MA",,226,1303,5292,30
"01475","WINCHENDON, MA",,1272,7200,31267,152
"01477","WINCHENDON SPRINGS, MA","B",0,0,0,2
"01501","AUBURN, MA",,10965,88542,378609,599
"01503","BERLIN, MA",,323,2183,10928,74
"01504","BLACKSTONE, MA",,740,4525,20375,140
"01505","BOYLSTON, MA",,1406,11898,54215,123
"01506","BROOKFIELD, MA",,364,1920,8425,40
"01507","CHARLTON, MA",,2237,19449,80916,235
"01508","CHARLTON CITY, MA",,264,1130,4949,33
"01509","CHARLTON DEPOT, MA",,30,76,515,5
"01510","CLINTON, MA",,4639,43680,183228,287
"01515","EAST BROOKFIELD, MA",,348,2227,10406,50
"01516","DOUGLAS, MA",,584,3398,17448,135
"01518","FISKDALE, MA",,292,1525,6622,58
"01519","GRAFTON, MA",,1768,10648,51011,108
"01520","HOLDEN, MA",,2657,18890,83990,276
"01521","HOLLAND, MA",,85,520,2294,25
"01522","JEFFERSON, MA",,165,1091,5283,40
"01523","LANCASTER, MA",,1199,8594,36926,111
"01524","LEICESTER, MA",,984,6572,29918,96
"01525","LINWOOD, MA",,235,1278,6412,27
"01526","MANCHAUG, MA",,58,359,1678,17
"01527","MILLBURY, MA",,4467,29444,136672,288
"01529","MILLVILLE, MA",,81,475,2679,39
"01531","NEW BRAINTREE, MA",,42,215,1347,19
"01532","NORTHBOROUGH, MA",,6270,67074,292342,479
"01534","NORTHBRIDGE, MA",,756,5458,22951,69
"01535","NORTH BROOKFIELD, MA",,966,7528,32098,83
"01536","NORTH GRAFTON, MA",,1920,17277,79896,158
"01537","NORTH OXFORD, MA",,870,7144,31665,57
"01538","NORTH UXBRIDGE, MA",,179,1631,6343,27
"01540","OXFORD, MA",,2241,18012,83549,241
"01541","PRINCETON, MA",,1233,3175,12282,63
"01542","ROCHDALE, MA",,466,3291,15109,38
"01543","RUTLAND, MA",,846,5736,27179,109
"01545","SHREWSBURY, MA",,10368,84514,365719,821
"01550","SOUTHBRIDGE, MA",,5638,47024,193489,369
"01560","SOUTH GRAFTON, MA",,265,1696,8159,49
"01561","SOUTH LANCASTER, MA",,906,5476,24183,42
"01562","SPENCER, MA",,2994,24954,106815,255
"01564","STERLING, MA",,2024,17574,77448,185
"01566","STURBRIDGE, MA",,3706,21250,93266,242
"01568","UPTON, MA",,560,3942,20084,163
"01569","UXBRIDGE, MA",,2349,16986,80624,278
"01570","WEBSTER, MA",,6961,62150,246772,392
"01571","DUDLEY, MA",,1908,14116,63108,152
"01580","WESTBOROUGH, MA","G",0,0,0,13
"01581","WESTBOROUGH, MA",,20360,248133,1030403,894
"01582","WESTBOROUGH, MA","F",0,0,0,4
"01583","WEST BOYLSTON, MA",,2883,20483,91434,229
"01585","WEST BROOKFIELD, MA",,669,5037,20825,78
"01588","WHITINSVILLE, MA",,2863,20676,86327,201
"01590","SUTTON, MA",,1434,10506,47954,161
"01601","WORCESTER, MA",,214,1856,7666,15
"01602","WORCESTER, MA",,2132,16377,67974,299
"01603","WORCESTER, MA",,7920,52386,221762,428
"01604","WORCESTER, MA",,12308,88596,400147,706
"01605","WORCESTER, MA",,22354,264132,1064019,588
"01606","WORCESTER, MA",,9878,103391,425380,452
"01607","WORCESTER, MA",,3206,27595,118998,152
"01608","WORCESTER, MA",,14276,141688,570319,663
"01609","WORCESTER, MA",,8904,66854,285804,518
"01610","WORCESTER, MA",,9323,64998,276720,365
"01611","CHERRY VALLEY, MA",,245,1696,7795,40
"01612","PAXTON, MA",,659,4689,20499,78
"01613","WORCESTER, MA",,524,4131,18099,37
"01614","WORCESTER, MA",,28,142,555,10
"01615","WORCESTER, MA",,286,4201,18592,15
"01653","WORCESTER, MA","C",0,0,0,4
"01655","WORCESTER, MA","H",0,0,0,5
"01701","FRAMINGHAM, MA",,32497,375650,1705880,1270
"01702","FRAMINGHAM, MA",,12072,221103,833013,795
"01703","FRAMINGHAM, MA",,16,96,587,6
"01704","FRAMINGHAM, MA",,90,804,3574,13
"01705","FRAMINGHAM, MA",,13,155,850,6
"01718","VILLAGE OF NAGOG WOODS, MA",,13,97,405,5
"01719","BOXBOROUGH, MA",,3661,101945,346770,132
"01720","ACTON, MA",,8385,86543,381043,765
"01721","ASHLAND, MA",,4184,34349,152666,400
"01730","BEDFORD, MA",,16040,325580,1238216,518
"01731","HANSCOM AFB, MA",,257,2251,9280,19
"01740","BOLTON, MA",,1081,14663,59317,127
"01741","CARLISLE, MA",,531,5623,27685,107
"01742","CONCORD, MA",,10932,143246,608067,789
"01745","FAYVILLE, MA",,190,3638,15356,26
"01746","HOLLISTON, MA",,4600,49128,213934,400
"01747","HOPEDALE, MA",,1296,12077,54081,141
"01748","HOPKINTON, MA",,4842,72376,297053,402
"01749","HUDSON, MA",,7284,77898,317743,497
"01752","MARLBOROUGH, MA",,30582,510037,2065980,1331
"01754","MAYNARD, MA",,4585,87346,357561,298
"01756","MENDON, MA",,1079,7142,29186,163
"01757","MILFORD, MA",,15502,190949,752666,784
"01760","NATICK, MA",,20133,222122,898181,1370
"01770","SHERBORN, MA",,538,4712,21114,106
"01772","SOUTHBOROUGH, MA",,6948,114029,452550,331
"01773","LINCOLN, MA",,1064,13814,86592,147
"01775","STOW, MA",,1213,9090,44757,175
"01776","SUDBURY, MA",,6740,94865,376854,529
"01778","WAYLAND, MA",,3285,36954,160713,353
"01784","WOODVILLE, MA",,38,293,1223,7
"01801","WOBURN, MA",,37049,444531,1876103,1899
"01803","BURLINGTON, MA",,34487,519573,2175963,1362
"01805","BURLINGTON, MA","H",0,0,0,5
"01806","WOBURN, MA","A",0,0,0,1
"01807","WOBURN, MA","A",0,0,0,2
"01808","WOBURN, MA","C",0,0,0,2
"01810","ANDOVER, MA",,29520,451334,1792494,983
"01813","WOBURN, MA","A",0,0,0,1
"01821","BILLERICA, MA",,14353,197376,808917,702
"01824","CHELMSFORD, MA",,19193,248770,1037375,831
"01826","DRACUT, MA",,4419,32669,149769,555
"01827","DUNSTABLE, MA",,155,993,5392,44
"01830","HAVERHILL, MA",,7879,55333,244015,571
"01831","HAVERHILL, MA",,246,1431,7010,22
"01832","HAVERHILL, MA",,3893,28175,128303,286
"01833","GEORGETOWN, MA",,1979,16872,82840,208
"01834","GROVELAND, MA",,954,8451,37733,120
"01835","HAVERHILL, MA",,4105,35702,148104,284
"01840","LAWRENCE, MA",,4251,28079,119613,344
"01841","LAWRENCE, MA",,6126,52580,233670,322
"01842","LAWRENCE, MA",,259,1663,8377,24
"01843","LAWRENCE, MA",,8245,72022,310068,434
"01844","METHUEN, MA",,14864,122675,511944,881
"01845","NORTH ANDOVER, MA",,14190,138611,607692,858
"01850","LOWELL, MA",,1236,5961,26496,108
"01851","LOWELL, MA",,8640,90524,375720,451
"01852","LOWELL, MA",,12370,97353,425598,820
"01853","LOWELL, MA",,753,7182,25871,27
"01854","LOWELL, MA",,5542,44699,193295,313
"01860","MERRIMAC, MA",,699,5175,21020,105
"01862","NORTH BILLERICA, MA",,7425,94363,424625,371
"01863","NORTH CHELMSFORD, MA",,2314,22375,90414,238
"01864","NORTH READING, MA",,6216,57116,249108,503
"01865","NUTTING LAKE, MA",,39,589,2262,5
"01866","PINEHURST, MA",,85,579,2321,8
"01867","READING, MA",,6355,60883,261814,550
"01876","TEWKSBURY, MA",,16315,220567,838121,778
"01879","TYNGSBORO, MA",,5453,27927,127917,353
"01880","WAKEFIELD, MA",,14002,177393,765084,944
"01885","WEST BOXFORD, MA",,57,446,2500,13
"01886","WESTFORD, MA",,9733,154852,674314,616
"01887","WILMINGTON, MA",,17695,266717,1129146,727
"01888","WOBURN, MA",,291,4346,16047,17
"01889","NORTH READING, MA","A",0,0,0,2
"01890","WINCHESTER, MA",,6707,68771,300239,577
"01901","LYNN, MA",,4811,38760,156680,266
"01902","LYNN, MA",,3752,23823,104485,381
"01903","LYNN, MA",,173,1154,4735,18
"01904","LYNN, MA",,2129,15784,74134,279
"01905","LYNN, MA",,7744,111679,502210,279
"01906","SAUGUS, MA",,10041,56938,253590,751
"01907","SWAMPSCOTT, MA",,2979,18474,82595,334
"01908","NAHANT, MA",,313,1619,7673,51
"01910","LYNN, MA",,36,360,1797,6
"01913","AMESBURY, MA",,4170,37642,154217,379
"01915","BEVERLY, MA",,20253,205264,856111,1159
"01921","BOXFORD, MA",,533,4163,21127,117
"01922","BYFIELD, MA",,696,6739,29721,66
"01923","DANVERS, MA",,26899,210514,909307,1144
"01929","ESSEX, MA",,803,5750,28948,147
"01930","GLOUCESTER, MA",,9773,97855,412186,947
"01931","GLOUCESTER, MA",,104,737,4202,25
"01936","HAMILTON, MA",,77,713,3442,21
"01937","HATHORNE, MA",,107,1163,4024,8
"01938","IPSWICH, MA",,4019,37424,186089,411
"01940","LYNNFIELD, MA",,4614,42607,184266,366
"01944","MANCHESTER, MA",,1317,12093,58370,192
"01945","MARBLEHEAD, MA",,4007,33578,147900,594
"01949","MIDDLETON, MA",,2916,27753,116512,286
"01950","NEWBURYPORT, MA",,9488,80987,360579,785
"01951","NEWBURY, MA",,397,2877,12776,75
"01952","SALISBURY, MA",,2286,18424,86654,276
"01960","PEABODY, MA",,24483,239358,1058441,1413
"01961","PEABODY, MA",,921,11741,52444,28
"01965","PRIDES CROSSING, MA","E",0,0,0,14
"01966","ROCKPORT, MA",,818,4670,23878,211
"01969","ROWLEY, MA",,2165,15900,74923,208
"01970","SALEM, MA",,15686,139297,601072,1177
"01971","SALEM, MA",,25,167,868,3
"01982","SOUTH HAMILTON, MA",,988,5951,27913,156
"01983","TOPSFIELD, MA",,1964,18492,82509,250
"01984","WENHAM, MA",,2045,13899,59781,81
"01985","WEST NEWBURY, MA",,414,2756,13238,94
"02018","ACCORD, MA",,123,1256,2576,10
"02019","BELLINGHAM, MA",,5031,29786,132734,385
"02020","BRANT ROCK, MA",,196,565,2827,16
"02021","CANTON, MA",,22603,337257,1372512,894
"02025","COHASSET, MA",,2109,14464,63740,245
"02026","DEDHAM, MA",,14650,134946,584449,800
"02027","DEDHAM, MA",,592,7249,30831,17
"02030","DOVER, MA",,403,3417,18453,119
"02031","EAST MANSFIELD, MA","A",0,0,0,1
"02032","EAST WALPOLE, MA",,2030,17824,77516,121
"02035","FOXBORO, MA",,8890,163071,658242,550
"02038","FRANKLIN, MA",,17971,213690,795335,819
"02040","GREENBUSH, MA",,68,1352,4671,12
"02041","GREEN HARBOR, MA",,45,273,1112,13
"02043","HINGHAM, MA",,11037,116349,502202,820
"02045","HULL, MA",,972,5464,26675,177
"02047","HUMAROCK, MA",,41,204,1075,12
"02048","MANSFIELD, MA",,9478,116222,495393,543
"02050","MARSHFIELD, MA",,3983,29290,131928,502
"02051","MARSHFIELD HILLS, MA",,96,660,2404,20
"02052","MEDFIELD, MA",,3054,27487,123672,326
"02053","MEDWAY, MA",,3336,20194,95481,296
"02054","MILLIS, MA",,1876,13771,63915,215
"02055","MINOT, MA","B",0,0,0,3
"02056","NORFOLK, MA",,1591,10614,50290,239
"02059","NORTH MARSHFIELD, MA",,12,102,469,8
"02060","NORTH SCITUATE, MA",,373,3853,18338,18
"02061","NORWELL, MA",,8724,85271,374123,516
"02062","NORWOOD, MA",,23251,271093,1231858,1220
"02065","OCEAN BLUFF, MA",,21,119,617,4
"02066","SCITUATE, MA",,2407,15107,72449,358
"02067","SHARON, MA",,3238,29863,128097,383
"02070","SHELDONVILLE, MA",,10,40,199,5
"02071","SOUTH WALPOLE, MA",,92,680,3370,18
"02072","STOUGHTON, MA",,12668,123035,538185,907
"02081","WALPOLE, MA",,7197,63222,275788,584
"02090","WESTWOOD, MA",,18261,236537,871880,442
"02093","WRENTHAM, MA",,4700,28630,131122,421
"02101","BOSTON, MA",,340,2742,10914,26
"02102","BOSTON, MA","A",0,0,0,1
"02103","BOSTON, MA",,9,80,240,3
"02104","BOSTON, MA","B",0,0,0,2
"02105","BOSTON, MA",,129,1439,5583,5
"02106","BOSTON, MA","G",0,0,0,5
"02107","BOSTON, MA",,9,145,793,3
"02108","BOSTON, MA",,23027,502391,1515343,1190
"02109","BOSTON, MA",,49314,1245144,5113270,1330
"02110","BOSTON, MA",,60675,2108199,6922906,1618
"02111","BOSTON, MA",,32325,483255,1767910,864
"02112","BOSTON, MA",,314,740,4054,11
"02113","BOSTON, MA",,1539,8332,39334,183
"02114","BOSTON, MA",,31303,450009,1858846,696
"02115","BOSTON, MA",,46769,506862,2136784,563
"02116","BOSTON, MA",,49915,909554,3291430,1925
"02117","BOSTON, MA",,4218,134117,455610,32
"02118","BOSTON, MA",,20264,267907,1073578,707
"02119","BOSTON, MA",,6739,76580,343358,378
"02120","BOSTON, MA",,5536,44140,190782,160
"02121","BOSTON, MA",,2228,13165,60167,182
"02122","BOSTON, MA",,6877,55179,243566,473
"02123","BOSTON, MA","C",0,0,0,5
"02124","BOSTON, MA",,6045,44666,195011,511
"02125","BOSTON, MA",,11503,147152,611753,392
"02126","MATTAPAN, MA",,1646,10426,46439,221
"02127","BOSTON, MA",,11129,146183,585452,623
"02128","BOSTON, MA",,20390,180802,742126,675
"02129","CHARLESTOWN, MA",,7663,94133,401031,445
"02130","JAMAICA PLAIN, MA",,11530,110732,467274,597
"02131","ROSLINDALE, MA",,5004,38164,160588,431
"02132","WEST ROXBURY, MA",,6658,52772,225888,472
"02133","BOSTON, MA",,26,203,755,8
"02134","ALLSTON, MA",,9074,89518,382207,496
"02135","BRIGHTON, MA",,17345,164493,716525,717
"02136","HYDE PARK, MA",,3942,32580,150531,406
"02137","READVILLE, MA",,197,6593,10113,14
"02138","CAMBRIDGE, MA",,43872,429458,1906370,1194
"02139","CAMBRIDGE, MA",,42684,612674,2575558,1000
"02140","CAMBRIDGE, MA",,7409,110439,427212,468
"02141","CAMBRIDGE, MA",,9887,130216,507208,420
"02142","CAMBRIDGE, MA",,15359,356316,1429025,362
"02143","SOMERVILLE, MA",,10207,83557,365922,572
"02144","SOMERVILLE, MA",,3554,31337,136336,392
"02145","SOMERVILLE, MA",,3715,26260,111275,338
"02148","MALDEN, MA",,15961,125081,501580,1032
"02149","EVERETT, MA",,12275,119017,506202,752
"02150","CHELSEA, MA",,11252,98736,443401,644
"02151","REVERE, MA",,7999,47131,198278,726
"02152","WINTHROP, MA",,1839,9682,43505,280
"02153","MEDFORD, MA",,48,248,976,6
"02155","MEDFORD, MA",,19750,158059,676912,1097
"02156","WEST MEDFORD, MA","A",0,0,0,3
"02163","BOSTON, MA",,108,1573,7472,25
"02169","QUINCY, MA",,23406,250489,995386,1522
"02170","QUINCY, MA",,8779,31118,128152,244
"02171","QUINCY, MA",,10424,121233,488055,333
"02176","MELROSE, MA",,5282,39667,180635,525
"02177","MELROSE, MA","B",0,0,0,2
"02180","STONEHAM, MA",,7501,66994,296265,624
"02184","BRAINTREE, MA",,28091,248599,1066324,1459
"02185","BRAINTREE, MA",,672,11690,40062,23
"02186","MILTON, MA",,5302,40628,175950,427
"02187","MILTON VILLAGE, MA",,66,393,1571,12
"02188","WEYMOUTH, MA",,3780,26940,122819,336
"02189","EAST WEYMOUTH, MA",,4979,50498,233252,417
"02190","SOUTH WEYMOUTH, MA",,7093,63049,298256,407
"02191","NORTH WEYMOUTH, MA",,1053,5696,26892,123
"02196","BOSTON, MA","A",0,0,0,3
"02199","BOSTON, MA",,14727,370426,1310500,184
"02201","BOSTON, MA",,50,476,2154,4
"02202","BOSTON, MA","B",0,0,0,1
"02203","BOSTON, MA",,55,407,1725,8
"02204","BOSTON, MA","B",0,0,0,2
"02205","BOSTON, MA",,1153,15145,52336,31
"02206","BOSTON, MA","A",0,0,0,1
"02208","BOSTON, MA","H",0,0,0,1
"02210","BOSTON, MA",,21506,386043,1626110,679
"02215","BOSTON, MA",,40639,458099,1989327,579
"02216","BOSTON, MA","C",0,0,0,3
"02217","BOSTON, MA","A",0,0,0,1
"02222","BOSTON, MA",,36,222,825,7
"02228","EAST BOSTON, MA",,29,123,498,4
"02238","CAMBRIDGE, MA",,1911,23316,94418,29
"02239","CAMBRIDGE, MA","A",0,0,0,1
"02269","QUINCY, MA",,2131,25964,94915,30
"02297","BOSTON, MA","A",0,0,0,1
"02301","BROCKTON, MA",,28113,222422,957947,1439
"02302","BROCKTON, MA",,6564,59109,258954,384
"02303","BROCKTON, MA",,588,7104,28117,32
"02304","BROCKTON, MA",,93,1063,4810,14
"02305","BROCKTON, MA",,21,84,323,4
"02322","AVON, MA",,8063,68481,316433,249
"02324","BRIDGEWATER, MA",,4591,30733,138257,475
"02325","BRIDGEWATER, MA","F",0,0,0,1
"02327","BRYANTVILLE, MA",,179,285,1185,12
"02330","CARVER, MA",,1098,6411,29144,177
"02331","DUXBURY, MA",,275,1671,8996,51
"02332","DUXBURY, MA",,2114,18494,89700,309
"02333","EAST BRIDGEWATER, MA",,2042,12685,56754,242
"02334","EASTON, MA",,1085,6094,24829,56
"02337","ELMWOOD, MA","A",0,0,0,1
"02338","HALIFAX, MA",,809,4108,20364,91
"02339","HANOVER, MA",,7908,55442,247483,649
"02340","HANOVER, MA","A",0,0,0,1
"02341","HANSON, MA",,1836,12184,59432,180
"02343","HOLBROOK, MA",,2558,23130,102296,282
"02344","MIDDLEBORO, MA","E",0,0,0,1
"02345","MANOMET, MA",,371,2065,8744,33
"02346","MIDDLEBORO, MA",,6362,47863,211420,518
"02347","LAKEVILLE, MA",,2879,25562,117295,284
"02348","MIDDLEBORO, MA","A",0,0,0,1
"02349","MIDDLEBORO, MA","A",0,0,0,2
"02350","MONPONSETT, MA",,7,26,115,3
"02351","ABINGTON, MA",,3665,24230,109556,322
"02355","NORTH CARVER, MA",,30,178,730,5
"02356","NORTH EASTON, MA",,2146,15029,69397,280
"02357","NORTH EASTON, MA","G",0,0,0,2
"02358","NORTH PEMBROKE, MA",,268,1716,8123,17
